SEZIONE,MUNICIPIO,ZONA_URB,ZONA_URB_CODICE
909,7,Tuscolano Sud,9b
910,7,Tuscolano Sud,9b
911,7,Tuscolano Sud,9b
912,7,Tuscolano Sud,9b
913,7,Tuscolano Sud,9b
914,7,Tuscolano Sud,9b
915,7,Tuscolano Sud,9b
916,7,Tuscolano Sud,9b
917,7,Tuscolano Sud,9b
918,7,Tor Fiscale,9c
919,7,Tor Fiscale,9c
920,5,Quadraro,6c
921,5,Quadraro,6c
922,5,Quadraro,6c
923,5,Quadraro,6c
924,5,Quadraro,6c
925,5,Quadraro,6c
926,5,Quadraro,6c
927,5,Quadraro,6c
928,5,Quadraro,6c
929,5,Quadraro,6c
930,5,Casilino,6b
931,7,Gregna,10h
932,5,Quadraro,6c
933,5,Quadraro,6c
934,5,Quadraro,6c
935,5,Quadraro,6c
936,9,Vallerano Castel di Leva,12h
937,5,Quadraro,6c
938,5,Quadraro,6c
939,5,Quadraro,6c
940,5,Quadraro,6c
941,7,Don Bosco,10a
942,7,Don Bosco,10a
943,7,Don Bosco,10a
944,7,Don Bosco,10a
945,7,Don Bosco,10a
946,7,Don Bosco,10a
947,7,Don Bosco,10a
948,7,Don Bosco,10a
949,9,Porta Medaglia,12l
950,7,Don Bosco,10a
951,7,Don Bosco,10a
952,7,Appio-Claudio,10b
953,7,Don Bosco,10a
954,7,Appio-Claudio,10b
955,7,Appio-Claudio,10b
956,7,Appio-Claudio,10b
957,7,Appio-Claudio,10b
958,7,Appio-Claudio,10b
959,7,Appio-Claudio,10b
960,7,Appio-Claudio,10b
961,7,Appio-Claudio,10b
962,7,Appio,9d
963,7,Appio,9d
964,7,Appio,9d
965,7,Appio,9d
966,7,Appio,9d
967,7,Appio,9d
968,7,Appio,9d
969,7,Appio,9d
970,7,Appio,9d
971,7,Appio,9d
972,7,Appio,9d
973,7,Appio,9d
974,7,Appio,9d
975,7,Appio,9d
976,7,Appio,9d
977,7,Appio,9d
978,7,Appio,9d
979,7,Appio,9d
980,7,Appio,9d
981,7,Appio,9d
982,7,Appio,9d
983,7,Appio,9d
984,7,Appio,9d
985,7,Appio,9d
986,7,Appio,9d
987,7,Appio,9d
988,7,Appio,9d
989,7,Appio,9d
990,7,Latino,9e
991,7,Latino,9e
992,7,Latino,9e
993,7,Latino,9e
994,7,Latino,9e
995,7,Latino,9e
996,7,Latino,9e
997,7,Latino,9e
998,7,Latino,9e
999,7,Latino,9e
1000,7,Latino,9e
1001,7,Latino,9e
1002,7,Latino,9e
1003,7,Latino,9e
1004,7,Latino,9e
1005,7,Latino,9e
1006,7,Latino,9e
1007,7,Latino,9e
1008,7,Latino,9e
1009,9,Vallerano Castel di Leva,12h
1010,7,Latino,9e
1011,9,Mezzocammino,12f
1012,7,Latino,9e
1013,7,Tuscolano Sud,9b
1014,7,Tuscolano Sud,9b
1015,7,Tuscolano Sud,9b
1016,7,Tuscolano Sud,9b
1017,7,Tuscolano Sud,9b
1018,7,Tuscolano Sud,9b
1019,7,Tuscolano Sud,9b
1020,7,Tuscolano Sud,9b
1021,7,Tuscolano Sud,9b
1022,7,Tuscolano Sud,9b
1023,8,Appia Antica Nord,11x
1024,7,Don Bosco,10a
1025,7,Don Bosco,10a
1026,7,Don Bosco,10a
1027,7,Don Bosco,10a
1028,7,Don Bosco,10a
1029,7,Don Bosco,10a
1030,7,Don Bosco,10a
1031,7,Don Bosco,10a
1032,7,Don Bosco,10a
1033,7,Don Bosco,10a
1034,7,Don Bosco,10a
1035,7,Don Bosco,10a
1036,7,Don Bosco,10a
1037,7,Don Bosco,10a
1038,7,Don Bosco,10a
1039,7,Don Bosco,10a
1040,7,Don Bosco,10a
1041,7,Don Bosco,10a
1042,10,Malafede,13a
1043,7,Don Bosco,10a
1044,7,Don Bosco,10a
1045,7,Don Bosco,10a
1046,7,Don Bosco,10a
1047,7,Don Bosco,10a
1048,7,Don Bosco,10a
1049,7,Don Bosco,10a
1050,7,Don Bosco,10a
1051,7,Don Bosco,10a
1052,7,Don Bosco,10a
1053,7,Don Bosco,10a
1054,7,Don Bosco,10a
1055,7,Don Bosco,10a
1056,7,Don Bosco,10a
1057,7,Don Bosco,10a
1058,7,Don Bosco,10a
1059,9,Vallerano Castel di Leva,12h
1060,7,Don Bosco,10a
1061,7,Don Bosco,10a
1062,7,Don Bosco,10a
1063,7,Don Bosco,10a
1064,7,Don Bosco,10a
1065,7,Don Bosco,10a
1066,7,Don Bosco,10a
1067,7,Don Bosco,10a
1068,7,Don Bosco,10a
1069,7,Osteria del Curato,10f
1070,7,Osteria del Curato,10f
1071,7,Osteria del Curato,10f
1072,7,Osteria del Curato,10f
1073,7,Osteria del Curato,10f
1074,9,Mezzocammino,12f
1075,6,Torre Maura,8b
1076,7,Torrespaccata,8a
1077,7,Torrespaccata,8a
1078,7,Torrespaccata,8a
1079,7,Torrespaccata,8a
1080,7,Torrespaccata,8a
1081,7,Torrespaccata,8a
1082,7,Torrespaccata,8a
1083,7,Torrespaccata,8a
1084,7,Torrespaccata,8a
1085,7,Torrespaccata,8a
1086,7,Torrespaccata,8a
1087,7,Torrespaccata,8a
1088,7,Torrespaccata,8a
1089,7,Torrespaccata,8a
1090,5,Centro Direzionale Centocelle,7g
1091,7,Appio-Claudio,10b
1092,7,Appio-Claudio,10b
1093,7,Appio-Claudio,10b
1094,7,Appio-Claudio,10b
1095,7,Appio-Claudio,10b
1096,7,Appio-Claudio,10b
1097,7,Appio-Claudio,10b
1098,7,Appio-Claudio,10b
1099,7,Appio-Claudio,10b
1100,7,Appio-Claudio,10b
1101,7,Appio-Claudio,10b
1102,7,Appio-Claudio,10b
1103,7,Appio-Claudio,10b
1104,7,Appio-Claudio,10b
1105,7,Appio-Claudio,10b
1106,7,Appio-Claudio,10b
1107,7,Appio-Claudio,10b
1108,7,Appio-Claudio,10b
1109,7,Appio-Claudio,10b
1110,7,Appio-Claudio,10b
1111,7,Appio-Claudio,10b
1112,7,Quarto Miglio,10c
1113,7,Quarto Miglio,10c
1114,7,Quarto Miglio,10c
1115,7,Quarto Miglio,10c
1116,7,Quarto Miglio,10c
1117,7,Quarto Miglio,10c
1118,7,Quarto Miglio,10c
1119,7,Appia Antica Nord,11x
1120,7,Quarto Miglio,10c
1121,7,Pignatelli,10d
1122,7,Pignatelli,10d
1123,7,Pignatelli,10d
1124,7,Pignatelli,10d
1125,7,Pignatelli,10d
1126,7,Pignatelli,10d
1127,8,Appia Antica Nord,11x
1128,6,Torre Maura,8b
1129,6,Torre Maura,8b
1130,6,Torre Maura,8b
1131,6,Torre Maura,8b
1132,6,Torre Maura,8b
1133,6,Torre Maura,8b
1134,6,Torre Maura,8b
1135,6,Torre Maura,8b
1136,7,Osteria del Curato,10f
1137,7,Osteria del Curato,10f
1138,7,Osteria del Curato,10f
1139,7,Osteria del Curato,10f
1140,7,Osteria del Curato,10f
1141,7,Osteria del Curato,10f
1142,7,Osteria del Curato,10f
1143,7,Osteria del Curato,10f
1144,7,Osteria del Curato,10f
1145,7,Osteria del Curato,10f
1146,7,Osteria del Curato,10f
1147,7,Osteria del Curato,10f
1148,7,Osteria del Curato,10f
1149,7,Romanina,10g
1150,7,Osteria del Curato,10f
1151,7,Osteria del Curato,10f
1152,7,Morena,10l
1153,7,Romanina,10g
1154,7,Romanina,10g
1155,7,Romanina,10g
1156,7,Romanina,10g
1157,7,Romanina,10g
1158,7,Barcaccia,10i
1159,7,Barcaccia,10i
1160,7,Barcaccia,10i
1161,7,Barcaccia,10i
1162,7,Quarto Miglio,10c
1163,7,Lucrezia Romana,10e
1164,7,Lucrezia Romana,10e
1165,7,Gregna,10h
1166,7,Gregna,10h
1167,7,Gregna,10h
1168,7,Morena,10l
1169,7,Morena,10l
1170,7,Morena,10l
1171,7,Morena,10l
1172,7,Morena,10l
1173,7,Morena,10l
1174,7,Morena,10l
1175,7,Morena,10l
1176,7,Morena,10l
1177,7,Morena,10l
1178,7,Morena,10l
1179,7,Morena,10l
1180,7,Morena,10l
1181,7,Morena,10l
1182,7,Morena,10l
1183,7,Morena,10l
1184,7,Morena,10l
1185,7,Morena,10l
1186,7,Gregna,10h
1187,7,Morena,10l
1188,7,Morena,10l
1189,7,Morena,10l
1190,7,Morena,10l
1191,7,Morena,10l
1192,7,Morena,10l
1193,7,Ciampino,10x
1194,8,Appia Antica Nord,11x
1195,8,Appia Antica Sud,11y
1196,9,Vallerano Castel di Leva,12h
1197,9,Vallerano Castel di Leva,12h
1198,9,Vallerano Castel di Leva,12h
1199,9,Vallerano Castel di Leva,12h
1200,9,Vallerano Castel di Leva,12h
1201,9,Vallerano Castel di Leva,12h
1202,9,Vallerano Castel di Leva,12h
1203,9,Vallerano Castel di Leva,12h
1204,9,Porta Medaglia,12l
1205,9,Porta Medaglia,12l
1206,9,Santa Palomba,12n
1207,9,Vallerano Castel di Leva,12h
1208,9,Decima,12i
1209,9,Vallerano Castel di Leva,12h
1210,9,Vallerano Castel di Leva,12h
1211,9,Vallerano Castel di Leva,12h
1212,9,Vallerano Castel di Leva,12h
1213,9,Decima,12i
1214,9,Decima,12i
1215,9,Decima,12i
1216,9,Decima,12i
1217,1,Testaccio,1d
1218,9,Torrino,12c
1219,10,Infernetto,13i
1220,1,Testaccio,1d
1221,1,Testaccio,1d
1222,1,Testaccio,1d
1223,1,Testaccio,1d
1224,1,Testaccio,1d
1225,1,Testaccio,1d
1226,1,Testaccio,1d
1227,1,Aventino,1c
1228,1,Aventino,1c
1229,1,Aventino,1c
1230,8,Ostiense,11a
1231,8,Ostiense,11a
1232,8,Ostiense,11a
1233,8,Ostiense,11a
1234,8,Ostiense,11a
1235,8,Ostiense,11a
1236,8,Garbatella,11c
1237,8,Garbatella,11c
1238,8,Garbatella,11c
1239,8,Garbatella,11c
1240,8,Garbatella,11c
1241,8,Garbatella,11c
1242,8,Garbatella,11c
1243,8,Navigatori,11d
1244,8,Garbatella,11c
1245,8,Garbatella,11c
1246,8,Garbatella,11c
1247,8,Garbatella,11c
1248,8,Garbatella,11c
1249,8,Garbatella,11c
1250,8,Garbatella,11c
1251,8,Garbatella,11c
1252,8,Garbatella,11c
1253,8,Garbatella,11c
1254,8,Garbatella,11c
1255,8,Garbatella,11c
1256,8,Garbatella,11c
1257,8,Garbatella,11c
1258,8,Garbatella,11c
1259,8,Garbatella,11c
1260,8,Garbatella,11c
1261,8,Appia Antica Nord,11x
1262,8,Garbatella,11c
1263,8,Garbatella,11c
1264,8,Garbatella,11c
1265,8,Ostiense,11a
1266,8,Valco S. Paolo,11b
1267,8,Valco S. Paolo,11b
1268,8,Garbatella,11c
1269,8,Garbatella,11c
1270,11,Ponte Galeria,15g
1271,8,Garbatella,11c
1272,8,Garbatella,11c
1273,13,Boccea,18f
1274,8,Garbatella,11c
1275,8,Garbatella,11c
1276,8,Garbatella,11c
1277,8,Garbatella,11c
1278,8,Garbatella,11c
1279,8,Garbatella,11c
1280,8,Garbatella,11c
1281,8,Garbatella,11c
1282,8,Garbatella,11c
1283,8,Garbatella,11c
1284,8,Garbatella,11c
1285,8,Garbatella,11c
1286,8,Garbatella,11c
1287,8,Valco S. Paolo,11b
1288,8,Valco S. Paolo,11b
1289,8,Valco S. Paolo,11b
1290,8,Valco S. Paolo,11b
1291,8,Valco S. Paolo,11b
1292,8,Valco S. Paolo,11b
1293,8,Valco S. Paolo,11b
1294,9,Eur,12a
1295,12,Testaccio,1d
1296,12,Gianicolense,16d
1297,12,Gianicolense,16d
1298,11,Marconi,15a
1299,11,Marconi,15a
1300,11,Marconi,15a
1301,11,Marconi,15a
1302,11,Marconi,15a
1303,11,Marconi,15a
1304,11,Marconi,15a
1305,11,Marconi,15a
1306,11,Marconi,15a
1307,11,Marconi,15a
1308,14,Castelluccia,19g
1309,11,Marconi,15a
1310,11,Marconi,15a
1311,11,Marconi,15a
1312,11,Marconi,15a
1313,11,Marconi,15a
1314,11,Marconi,15a
1315,11,Marconi,15a
1316,11,Marconi,15a
1317,11,Marconi,15a
1318,11,Marconi,15a
1319,11,Marconi,15a
1320,11,Marconi,15a
1321,11,Marconi,15a
1322,11,Marconi,15a
1323,11,Marconi,15a
1324,11,Pian Due Torri,15c
1325,11,Marconi,15a
1326,11,Marconi,15a
1327,11,Marconi,15a
1328,11,Marconi,15a
1329,11,Marconi,15a
1330,11,Marconi,15a
1331,11,Pian Due Torri,15c
1332,11,Pian Due Torri,15c
1333,11,Pian Due Torri,15c
1334,11,Pian Due Torri,15c
1335,11,Pian Due Torri,15c
1336,11,Pian Due Torri,15c
1337,11,Pian Due Torri,15c
1338,11,Pian Due Torri,15c
1339,11,Pian Due Torri,15c
1340,11,Pian Due Torri,15c
1341,11,Pian Due Torri,15c
1342,11,Pian Due Torri,15c
1343,11,Pian Due Torri,15c
1344,11,Pian Due Torri,15c
1345,11,Pian Due Torri,15c
1346,11,Pian Due Torri,15c
1347,11,Pian Due Torri,15c
1348,11,Pian Due Torri,15c
1349,11,Pian Due Torri,15c
1350,11,Pian Due Torri,15c
1351,11,Pian Due Torri,15c
1352,11,Pian Due Torri,15c
1353,11,Pian Due Torri,15c
1354,11,Trullo,15d
1355,11,Pian Due Torri,15c
1356,11,Portuense,15b
1357,11,Portuense,15b
1358,11,Portuense,15b
1359,11,Portuense,15b
1360,11,Portuense,15b
1361,11,Portuense,15b
1362,11,Portuense,15b
1363,11,Portuense,15b
1364,11,Portuense,15b
1365,11,Portuense,15b
1366,11,Portuense,15b
1367,11,Portuense,15b
1368,11,Portuense,15b
1369,11,Portuense,15b
1370,11,Portuense,15b
1371,11,Portuense,15b
1372,11,Portuense,15b
1373,11,Portuense,15b
1374,11,Portuense,15b
1375,11,Portuense,15b
1376,11,Portuense,15b
1377,11,Portuense,15b
1378,11,Portuense,15b
1379,11,Portuense,15b
1380,11,Portuense,15b
1381,11,Portuense,15b
1382,11,Pian Due Torri,15c
1383,12,Gianicolense,16d
1384,12,Gianicolense,16d
1385,12,Gianicolense,16d
1386,12,Gianicolense,16d
1387,12,Gianicolense,16d
1388,12,Gianicolense,16d
1389,12,Gianicolense,16d
1390,12,Gianicolense,16d
1391,12,Gianicolense,16d
1392,12,Gianicolense,16d
1393,12,Gianicolense,16d
1394,12,Gianicolense,16d
1395,12,Gianicolense,16d
1396,12,Gianicolense,16d
1397,12,Gianicolense,16d
1398,12,Gianicolense,16d
1399,12,Gianicolense,16d
1400,12,Gianicolense,16d
1401,12,Villa Pamphili,16x
1402,12,Gianicolense,16d
1403,12,Gianicolense,16d
1404,12,Gianicolense,16d
1405,12,Gianicolense,16d
1406,12,Gianicolense,16d
1407,12,Gianicolense,16d
1408,12,Gianicolense,16d
1409,12,Gianicolense,16d
1410,12,Gianicolense,16d
1411,12,Gianicolense,16d
1412,12,Gianicolense,16d
1413,12,Gianicolense,16d
1414,12,Gianicolense,16d
1415,12,Gianicolense,16d
1416,12,Gianicolense,16d
1417,12,Gianicolense,16d
1418,12,Gianicolense,16d
1419,12,Gianicolense,16d
1420,12,Gianicolense,16d
1421,12,Gianicolense,16d
1422,12,Gianicolense,16d
1423,12,Gianicolense,16d
1424,12,Gianicolense,16d
1425,12,Gianicolense,16d
1426,12,Gianicolense,16d
1427,12,Gianicolense,16d
1428,12,Colli Portuensi,16a
1429,12,Colli Portuensi,16a
1430,12,Colli Portuensi,16a
1431,12,Colli Portuensi,16a
1432,12,Gianicolense,16d
1433,12,Gianicolense,16d
1434,12,Gianicolense,16d
1435,12,Gianicolense,16d
1436,12,Gianicolense,16d
1437,12,Colli Portuensi,16a
1438,12,Colli Portuensi,16a
1439,12,Colli Portuensi,16a
1440,12,Colli Portuensi,16a
1441,12,Colli Portuensi,16a
1442,12,Colli Portuensi,16a
1443,12,Colli Portuensi,16a
1444,12,Colli Portuensi,16a
1445,12,Colli Portuensi,16a
1446,12,Colli Portuensi,16a
1447,12,Colli Portuensi,16a
1448,12,Colli Portuensi,16a
1449,12,Colli Portuensi,16a
1450,12,Colli Portuensi,16a
1451,12,Colli Portuensi,16a
1452,12,Colli Portuensi,16a
1453,12,Colli Portuensi,16a
1454,12,Colli Portuensi,16a
1455,12,Colli Portuensi,16a
1456,12,Colli Portuensi,16a
1457,12,Colli Portuensi,16a
1458,12,Colli Portuensi,16a
1459,12,Colli Portuensi,16a
1460,12,Colli Portuensi,16a
1461,12,Colli Portuensi,16a
1462,12,Colli Portuensi,16a
1463,12,Colli Portuensi,16a
1464,12,Colli Portuensi,16a
1465,12,Colli Portuensi,16a
1466,12,Colli Portuensi,16a
1467,12,Colli Portuensi,16a
1468,11,Marconi,15a
1469,11,Marconi,15a
1470,11,Marconi,15a
1471,11,Marconi,15a
1472,8,Navigatori,11d
1473,8,Appia Antica Nord,11x
1474,8,Navigatori,11d
1475,8,Navigatori,11d
1476,8,Navigatori,11d
1477,8,Navigatori,11d
1478,8,Appia Antica Nord,11x
1479,8,Navigatori,11d
1480,8,Tormarancia,11e
1481,8,Tormarancia,11e
1482,8,Tormarancia,11e
1483,8,Tormarancia,11e
1484,8,Tormarancia,11e
1485,8,Tormarancia,11e
1486,8,Tormarancia,11e
1487,8,Tormarancia,11e
1488,8,Tormarancia,11e
1489,8,Tormarancia,11e
1490,8,Tormarancia,11e
1491,8,Tormarancia,11e
1492,8,Tormarancia,11e
1493,8,Tormarancia,11e
1494,8,Tormarancia,11e
1495,8,Tormarancia,11e
1496,8,Tormarancia,11e
1497,8,Tormarancia,11e
1498,8,Tormarancia,11e
1499,8,Tormarancia,11e
1500,8,Tormarancia,11e
1501,8,Tormarancia,11e
1502,8,Tormarancia,11e
1503,8,Tormarancia,11e
1504,8,Tormarancia,11e
1505,8,Tormarancia,11e
1506,8,Tormarancia,11e
1507,8,Tormarancia,11e
1508,8,Eur,12a
1509,8,Tormarancia,11e
1510,8,Tre Fontane,11f
1511,8,Tre Fontane,11f
1512,8,Tre Fontane,11f
1513,8,Tre Fontane,11f
1514,8,Tre Fontane,11f
1515,8,Tre Fontane,11f
1516,8,Tre Fontane,11f
1517,8,Tre Fontane,11f
1518,8,Tre Fontane,11f
1519,8,Tre Fontane,11f
1520,8,Tre Fontane,11f
1521,8,Grottaperfetta,11g
1522,8,Grottaperfetta,11g
1523,8,Grottaperfetta,11g
1524,8,Grottaperfetta,11g
1525,8,Grottaperfetta,11g
1526,8,Grottaperfetta,11g
1527,8,Grottaperfetta,11g
1528,8,Grottaperfetta,11g
1529,8,Grottaperfetta,11g
1530,8,Grottaperfetta,11g
1531,8,Grottaperfetta,11g
1532,8,Grottaperfetta,11g
1533,8,Grottaperfetta,11g
1534,8,Grottaperfetta,11g
1535,8,Grottaperfetta,11g
1536,8,Appia Antica Nord,11x
1537,9,Cecchignola,12e
1538,9,Cecchignola,12e
1539,9,Cecchignola,12e
1540,9,Cecchignola,12e
1541,9,Cecchignola,12e
1542,9,Cecchignola,12e
1543,9,Cecchignola,12e
1544,9,Cecchignola,12e
1545,9,Villaggio Giuliano,12b
1546,9,Villaggio Giuliano,12b
1547,9,Villaggio Giuliano,12b
1548,9,Villaggio Giuliano,12b
1549,9,Villaggio Giuliano,12b
1550,9,Villaggio Giuliano,12b
1551,9,Villaggio Giuliano,12b
1552,9,Villaggio Giuliano,12b
1553,9,Villaggio Giuliano,12b
1554,9,Cecchignola,12e
1555,9,Cecchignola,12e
1556,9,Cecchignola,12e
1557,9,Cecchignola,12e
1558,9,Cecchignola,12e
1559,9,Cecchignola,12e
1560,10,Castel Porziano,13x
1561,9,Eur,12a
1562,9,Eur,12a
1563,9,Eur,12a
1564,9,Eur,12a
1565,9,Eur,12a
1566,9,Eur,12a
1567,9,Eur,12a
1568,9,Eur,12a
1569,9,Eur,12a
1570,11,Portuense,15b
1571,11,Portuense,15b
1572,11,Portuense,15b
1573,11,Portuense,15b
1574,7,Torrespaccata,8a
1575,11,Trullo,15d
1576,11,Trullo,15d
1577,11,Trullo,15d
1578,11,Trullo,15d
1579,11,Trullo,15d
1580,11,Trullo,15d
1581,11,Trullo,15d
1582,11,Trullo,15d
1583,11,Trullo,15d
1584,11,Trullo,15d
1585,11,Trullo,15d
1586,11,Trullo,15d
1587,11,Trullo,15d
1588,11,Trullo,15d
1589,11,Trullo,15d
1590,11,Trullo,15d
1591,11,Trullo,15d
1592,11,Trullo,15d
1593,11,Trullo,15d
1594,11,Trullo,15d
1595,11,Trullo,15d
1596,11,Trullo,15d
1597,11,Trullo,15d
1598,11,Trullo,15d
1599,11,Trullo,15d
1600,11,Trullo,15d
1601,11,Portuense,15b
1602,11,Portuense,15b
1603,9,Cecchignola,12e
1604,8,Appia Antica Nord,11x
1605,9,Laurentino,12d
1606,9,Laurentino,12d
1607,9,Laurentino,12d
1608,9,Laurentino,12d
1609,9,Laurentino,12d
1610,9,Laurentino,12d
1611,9,Laurentino,12d
1612,9,Laurentino,12d
1613,9,Laurentino,12d
1614,9,Laurentino,12d
1615,9,Laurentino,12d
1616,9,Laurentino,12d
1617,9,Laurentino,12d
1618,9,Laurentino,12d
1619,9,Laurentino,12d
1620,9,Laurentino,12d
1621,9,Laurentino,12d
1622,9,Laurentino,12d
1623,9,Laurentino,12d
1624,14,Castelluccia,19g
1625,9,Laurentino,12d
1626,9,Laurentino,12d
1627,9,Laurentino,12d
1628,9,Laurentino,12d
1629,9,Laurentino,12d
1630,9,Torrino,12c
1631,9,Torrino,12c
1632,9,Torrino,12c
1633,9,Torrino,12c
1634,9,Torrino,12c
1635,9,Torrino,12c
1636,9,Torrino,12c
1637,9,Torrino,12c
1638,9,Torrino,12c
1639,9,Torrino,12c
1640,9,Torrino,12c
1641,9,Torrino,12c
1642,9,Torrino,12c
1643,9,Torrino,12c
1644,9,Torrino,12c
1645,9,Torrino,12c
1646,9,Torrino,12c
1647,9,Torrino,12c
1648,9,Tor di Valle,12x
1649,9,Torrino,12c
1650,9,Torrino,12c
1651,9,Torrino,12c
1652,9,Torrino,12c
1653,9,Torrino,12c
1654,9,Torrino,12c
1655,9,Torrino,12c
1656,9,Torrino,12c
1657,9,Torrino,12c
1658,9,Mezzocammino,12f
1659,9,Torrino,12c
1660,9,Torrino,12c
1661,9,Torrino,12c
1662,9,Torrino,12c
1663,9,Torrino,12c
1664,9,Torrino,12c
1665,9,Torrino,12c
1666,9,Torrino,12c
1667,9,Torrino,12c
1668,9,Torrino,12c
1669,9,Torrino,12c
1670,9,Spinaceto,12g
1671,9,Spinaceto,12g
1672,9,Torrino,12c
1673,9,Spinaceto,12g
1674,9,Spinaceto,12g
1675,9,Spinaceto,12g
1676,9,Spinaceto,12g
1677,9,Spinaceto,12g
1678,9,Spinaceto,12g
1679,9,Spinaceto,12g
1680,9,Spinaceto,12g
1681,9,Spinaceto,12g
1682,9,Spinaceto,12g
1683,9,Spinaceto,12g
1684,9,Spinaceto,12g
1685,9,Spinaceto,12g
1686,9,Laurentino,12d
1687,9,Spinaceto,12g
1688,9,Spinaceto,12g
1689,9,Spinaceto,12g
1690,9,Spinaceto,12g
1691,9,Spinaceto,12g
1692,9,Spinaceto,12g
1693,9,Spinaceto,12g
1694,9,Spinaceto,12g
1695,9,Spinaceto,12g
1696,9,Spinaceto,12g
1697,9,Spinaceto,12g
1698,9,Castel Romano,12m
1699,1,Centro Storico,1a
1700,1,Centro Storico,1a
1701,1,Centro Storico,1a
1702,1,Centro Storico,1a
1703,1,Centro Storico,1a
1704,1,Centro Storico,1a
1705,1,Centro Storico,1a
1706,1,Centro Storico,1a
1707,1,Trastevere,1b
1708,1,Trastevere,1b
1709,1,Trastevere,1b
1710,1,Trastevere,1b
1711,1,Trastevere,1b
1712,1,Trastevere,1b
1713,1,Trastevere,1b
1714,1,Trastevere,1b
1715,1,Trastevere,1b
1716,1,Trastevere,1b
1717,1,Trastevere,1b
1718,1,Trastevere,1b
1719,1,Prati,17a
1720,1,Prati,17a
1721,1,Prati,17a
1722,13,Aurelio Sud,18a
1723,13,Aurelio Sud,18a
1724,13,Aurelio Sud,18a
1725,13,Aurelio Sud,18a
1726,13,Aurelio Sud,18a
1727,13,Aurelio Sud,18a
1728,13,Aurelio Sud,18a
1729,13,Aurelio Sud,18a
1730,14,Castelluccia,19g
1731,13,Aurelio Sud,18a
1732,13,Aurelio Sud,18a
1733,13,Aurelio Sud,18a
1734,13,Aurelio Sud,18a
1735,13,Aurelio Sud,18a
1736,13,Aurelio Sud,18a
1737,13,Aurelio Sud,18a
1738,13,Aurelio Sud,18a
1739,13,Aurelio Sud,18a
1740,13,Aurelio Sud,18a
1741,13,Aurelio Sud,18a
1742,13,Aurelio Sud,18a
1743,13,Aurelio Sud,18a
1744,13,Aurelio Nord,18d
1745,13,Aurelio Nord,18d
1746,13,Aurelio Nord,18d
1747,13,Aurelio Nord,18d
1748,13,Aurelio Nord,18d
1749,13,Aurelio Nord,18d
1750,13,Aurelio Sud,18a
1751,13,Aurelio Nord,18d
1752,13,Aurelio Nord,18d
1753,13,Aurelio Nord,18d
1754,13,Aurelio Nord,18d
1755,10,Infernetto,13i
1756,13,Aurelio Nord,18d
1757,6,Lunghezza,8e
1758,13,Aurelio Nord,18d
1759,13,Aurelio Nord,18d
1760,13,Aurelio Nord,18d
1761,13,Aurelio Nord,18d
1762,3,Casal Boccone,4f
1763,13,Aurelio Nord,18d
1764,1,Eroi,17c
1765,1,Eroi,17c
1766,1,Eroi,17c
1767,1,Eroi,17c
1768,1,Eroi,17c
1769,1,Eroi,17c
1770,1,Eroi,17c
1771,1,Eroi,17c
1772,1,Eroi,17c
1773,1,Eroi,17c
